,constructorStandingsId,raceId,constructorId,points,position,positionText,wins
12706,28142,1074,9,0.0,10,10,0
12707,28141,1074,1,0.0,9,9,0
12708,28140,1074,3,0.0,8,8,0
12709,28139,1074,117,0.0,7,7,0
12710,28138,1074,213,4.0,6,6,0
12711,28137,1074,214,8.0,5,5,0
12712,28136,1074,51,9.0,4,4,0
12713,28135,1074,210,10.0,3,3,0
12714,28134,1074,131,27.0,2,2,0
12715,28133,1074,6,44.0,1,1,1
12721,28143,1075,6,78.0,1,1,1
12722,28144,1075,131,38.0,2,2,0
12723,28145,1075,210,12.0,5,5,0
12724,28146,1075,51,9.0,6,6,0
12725,28147,1075,214,16.0,4,4,0
12726,28148,1075,213,8.0,7,7,0
12727,28149,1075,117,0.0,9,9,0
12728,28150,1075,3,0.0,10,10,0
12729,28151,1075,1,6.0,8,8,0
12730,28152,1075,9,37.0,3,3,1
12731,28153,1076,6,104.0,1,1,2
12732,28154,1076,131,65.0,2,2,0
12733,28155,1076,210,12.0,7,7,0
12734,28156,1076,51,13.0,6,6,0
12735,28157,1076,214,22.0,5,5,0
12736,28158,1076,213,10.0,8,8,0
12737,28159,1076,117,0.0,10,10,0
12738,28160,1076,3,1.0,9,9,0
12739,28161,1076,1,24.0,4,4,0
12740,28162,1076,9,55.0,3,3,1
12741,28163,1077,6,124.0,1,1,2
12742,28164,1077,131,77.0,3,3,0
12743,28165,1077,210,15.0,8,8,0
12744,28166,1077,51,25.0,5,5,0
12745,28167,1077,214,22.0,6,6,0
12746,28168,1077,213,16.0,7,7,0
12747,28169,1077,117,5.0,9,9,0
12748,28170,1077,3,1.0,10,10,0
12749,28171,1077,1,46.0,4,4,0
12750,28172,1077,9,113.0,2,2,2
12751,28173,1078,6,157.0,1,1,2
12752,28174,1078,131,95.0,3,3,0
12753,28175,1078,210,15.0,8,8,0
12754,28176,1078,51,31.0,5,5,0
12755,28177,1078,214,26.0,6,6,0
12756,28178,1078,213,16.0,7,7,0
12757,28179,1078,117,6.0,9,9,0
12758,28180,1078,3,3.0,10,10,0
12759,28181,1078,1,46.0,4,4,0
12760,28182,1078,9,151.0,2,2,3
12761,28183,1079,6,169.0,2,2,2
12762,28184,1079,131,120.0,3,3,0
12763,28185,1079,210,15.0,8,8,0
12764,28186,1079,51,39.0,5,5,0
12765,28187,1079,214,34.0,6,6,0
12766,28188,1079,213,17.0,7,7,0
12767,28189,1079,117,6.0,9,9,0
12768,28190,1079,3,3.0,10,10,0
12769,28191,1079,1,50.0,4,4,0
12770,28192,1079,9,195.0,1,1,4
12771,28193,1080,6,199.0,2,2,2
12772,28194,1080,131,134.0,3,3,0
12773,28195,1080,210,15.0,8,8,0
12774,28196,1080,51,41.0,5,5,0
12775,28197,1080,214,40.0,6,6,0
12776,28198,1080,213,17.0,7,7,0
12777,28199,1080,117,7.0,9,9,0
12778,28200,1080,3,3.0,10,10,0
12779,28201,1080,1,59.0,4,4,0
12780,28202,1080,9,235.0,1,1,5
12781,28203,1081,6,199.0,2,2,2
12782,28204,1081,131,161.0,3,3,0
12783,28205,1081,210,15.0,8,8,0
12784,28206,1081,51,41.0,6,6,0
12785,28207,1081,214,47.0,5,5,0
12786,28208,1081,213,27.0,7,7,0
12787,28209,1081,117,15.0,9,9,0
12788,28210,1081,3,3.0,10,10,0
12789,28211,1081,1,65.0,4,4,0
12790,28212,1081,9,279.0,1,1,6
12791,28232,1082,9,304.0,1,1,7
12792,28231,1082,1,65.0,4,4,0
12793,28230,1082,3,3.0,10,10,0
12794,28228,1082,213,27.0,7,7,0
12795,28225,1082,210,15.0,9,9,0
12796,28223,1082,6,228.0,2,2,2
12797,28224,1082,131,188.0,3,3,0
12798,28229,1082,117,16.0,8,8,0
12799,28227,1082,214,57.0,5,5,0
12800,28226,1082,51,51.0,6,6,0
12801,28233,1083,6,265.0,2,2,3
12802,28234,1083,131,204.0,3,3,0
12803,28235,1083,210,20.0,8,8,0
12804,28236,1083,51,51.0,6,6,0
12805,28237,1083,214,67.0,5,5,0
12806,28238,1083,213,27.0,7,7,0
12807,28239,1083,117,18.0,9,9,0
12808,28240,1083,3,3.0,10,10,0
12809,28241,1083,1,73.0,4,4,0
12810,28242,1083,9,328.0,1,1,7
12811,28243,1084,6,303.0,2,2,4
12812,28244,1084,131,237.0,3,3,0
12813,28245,1084,210,34.0,7,7,0
12814,28246,1084,51,51.0,6,6,0
12815,28247,1084,214,81.0,5,5,0
12816,28248,1084,213,27.0,8,8,0
12817,28249,1084,117,18.0,9,9,0
12818,28250,1084,3,3.0,10,10,0
12819,28251,1084,1,81.0,4,4,0
12820,28252,1084,9,359.0,1,1,7
12821,28253,1085,6,314.0,2,2,4
12822,28254,1085,131,270.0,3,3,0
12823,28255,1085,210,34.0,7,7,0
12824,28256,1085,51,51.0,6,6,0
12825,28257,1085,214,93.0,4,4,0
12826,28258,1085,213,27.0,8,8,0
12827,28259,1085,117,19.0,9,9,0
12828,28260,1085,3,3.0,10,10,0
12829,28261,1085,1,89.0,5,5,0
12830,28262,1085,9,396.0,1,1,8
12831,28263,1086,6,334.0,2,2,4
12832,28264,1086,131,304.0,3,3,0
12833,28265,1086,210,34.0,7,7,0
12834,28266,1086,51,51.0,6,6,0
12835,28267,1086,214,99.0,4,4,0
12836,28268,1086,213,27.0,8,8,0
12837,28269,1086,117,20.0,9,9,0
12838,28270,1086,3,3.0,10,10,0
12839,28271,1086,1,95.0,5,5,0
12840,28272,1086,9,431.0,1,1,9
12841,28273,1087,6,357.0,2,2,4
12842,28274,1087,131,316.0,3,3,0
12843,28275,1087,210,34.0,7,7,0
12844,28276,1087,51,51.0,6,6,0
12845,28277,1087,214,115.0,4,4,0
12846,28278,1087,213,29.0,8,8,0
12847,28279,1087,117,24.0,9,9,0
12848,28280,1087,3,4.0,10,10,0
12849,28281,1087,1,95.0,5,5,0
12850,28282,1087,9,475.0,1,1,10
12851,28283,1088,6,376.0,2,2,4
12852,28284,1088,131,346.0,3,3,0
12853,28285,1088,210,34.0,7,7,0
12854,28286,1088,51,51.0,6,6,0
12855,28287,1088,214,125.0,4,4,0
12856,28288,1088,213,29.0,8,8,0
12857,28289,1088,117,25.0,9,9,0
12858,28290,1088,3,4.0,10,10,0
12859,28291,1088,1,101.0,5,5,0
12860,28292,1088,9,511.0,1,1,11
12861,28293,1089,6,406.0,2,2,4
12862,28294,1089,131,371.0,3,3,0
12863,28295,1089,210,34.0,7,7,0
12864,28296,1089,51,52.0,6,6,0
12865,28297,1089,214,125.0,4,4,0
12866,28298,1089,213,33.0,8,8,0
12867,28299,1089,117,25.0,9,9,0
12868,28300,1089,3,6.0,10,10,0
12869,28301,1089,1,107.0,5,5,0
12870,28302,1089,9,545.0,1,1,12
12871,28303,1091,6,439.0,2,2,4
12872,28304,1091,131,373.0,3,3,0
12873,28305,1091,210,34.0,8,8,0
12874,28306,1091,51,52.0,6,6,0
12875,28307,1091,214,125.0,5,5,0
12876,28308,1091,213,34.0,9,9,0
12877,28309,1091,117,37.0,7,7,0
12878,28310,1091,3,6.0,10,10,0
12879,28311,1091,1,129.0,4,4,0
12880,28312,1091,9,576.0,1,1,13
12881,28332,1092,9,619.0,1,1,14
12882,28331,1092,1,130.0,5,5,0
12883,28328,1092,213,34.0,9,9,0
12884,28325,1092,210,34.0,8,8,0
12885,28323,1092,6,454.0,2,2,4
12886,28330,1092,3,8.0,10,10,0
12887,28324,1092,131,387.0,3,3,0
12888,28327,1092,214,143.0,4,4,0
12889,28329,1092,117,45.0,7,7,0
12890,28326,1092,51,52.0,6,6,0
12891,28370,1093,3,8.0,10,10,0
12892,28371,1093,1,138.0,5,5,0
12893,28367,1093,214,149.0,4,4,0
12894,28363,1093,6,469.0,2,2,4
12895,28369,1093,117,49.0,7,7,0
12896,28368,1093,213,35.0,9,9,0
12897,28366,1093,51,52.0,6,6,0
12898,28365,1093,210,36.0,8,8,0
12899,28364,1093,131,416.0,3,3,0
12900,28382,1094,9,696.0,1,1,16
12901,28381,1094,1,146.0,5,5,0
12902,28378,1094,213,35.0,9,9,0
12903,28375,1094,210,36.0,8,8,0
12904,28373,1094,6,487.0,2,2,4
12905,28380,1094,3,8.0,10,10,0
12906,28374,1094,131,447.0,3,3,0
12907,28377,1094,214,153.0,4,4,0
12908,28379,1094,117,49.0,7,7,0
12909,28376,1094,51,53.0,6,6,0
12910,28372,1093,9,656.0,1,1,15
12911,28383,1095,6,524.0,2,2,4
12912,28384,1095,131,505.0,3,3,1
12913,28385,1095,210,37.0,8,8,0
12914,28386,1095,51,55.0,6,6,0
12915,28387,1095,214,167.0,4,4,0
12916,28388,1095,213,35.0,9,9,0
12917,28389,1095,117,50.0,7,7,0
12918,28390,1095,3,8.0,10,10,0
12919,28391,1095,1,148.0,5,5,0
12920,28392,1095,9,719.0,1,1,16
12921,28393,1096,6,554.0,2,2,4
12922,28394,1096,131,515.0,3,3,1
12923,28395,1096,210,37.0,8,8,0
12924,28396,1096,51,55.0,6,6,0
12925,28397,1096,214,173.0,4,4,0
12926,28398,1096,213,35.0,9,9,0
12927,28399,1096,117,55.0,7,7,0
12928,28400,1096,3,8.0,10,10,0
12929,28401,1096,1,159.0,5,5,0
12930,28402,1096,9,759.0,1,1,17
12931,28492,1098,1,0.0,10,10,0
12932,28491,1098,210,0.0,9,9,0
12933,28490,1098,213,0.0,8,8,0
12934,28489,1098,3,1.0,7,7,0
12935,28488,1098,214,2.0,6,6,0
12936,28487,1098,51,4.0,5,5,0
12937,28486,1098,131,16.0,3,3,0
12938,28485,1098,6,12.0,4,4,0
12939,28484,1098,117,23.0,2,2,0
12940,28483,1098,9,43.0,1,1,1
12941,28444,1100,117,65.0,2,2,0
12942,28443,1100,9,123.0,1,1,3
12943,28442,1099,1,0.0,10,10,0
12944,28440,1099,213,0.0,9,9,0
12945,28439,1099,3,1.0,8,8,0
12946,28437,1099,51,4.0,6,6,0
12947,28435,1099,6,26.0,4,4,0
12948,28441,1099,210,1.0,7,7,0
12949,28438,1099,214,8.0,5,5,0
