,driverStandingsId,raceId,driverId,points,position,positionText,wins
33374,71395,1074,842,0.0,20,20,0
33375,71394,1074,830,0.0,19,19,0
33376,71393,1074,815,0.0,18,18,0
33377,71392,1074,807,0.0,17,17,0
33378,71391,1074,849,0.0,16,16,0
33379,71390,1074,846,0.0,15,15,0
33380,71389,1074,817,0.0,14,14,0
33381,71388,1074,848,0.0,13,13,0
33382,71387,1074,840,0.0,12,12,0
33383,71386,1074,854,0.0,11,11,0
33384,71385,1074,855,1.0,10,10,0
33385,71384,1074,4,2.0,9,9,0
33386,71383,1074,852,4.0,8,8,0
33387,71382,1074,839,6.0,7,7,0
33388,71381,1074,822,8.0,6,6,0
33430,71376,1074,844,26.0,1,1,1
33431,71377,1074,832,18.0,2,2,0
33432,71378,1074,1,15.0,3,3,0
33433,71379,1074,847,12.0,4,4,0
33434,71380,1074,825,10.0,5,5,0
33435,71272,1075,844,45.0,1,1,1
33436,71273,1075,832,33.0,2,2,0
33437,71274,1075,1,16.0,5,5,0
33438,71275,1075,847,22.0,4,4,0
33439,71276,1075,825,12.0,8,8,0
33440,71277,1075,822,8.0,9,9,0
33441,71278,1075,839,14.0,6,6,0
33442,71279,1075,852,4.0,11,11,0
33443,71280,1075,4,2.0,13,13,0
33444,71281,1075,855,1.0,14,14,0
33445,71282,1075,854,0.0,15,15,0
33446,71283,1075,840,0.0,16,16,0
33447,71284,1075,848,0.0,18,18,0
33448,71285,1075,817,0.0,19,19,0
33449,71286,1075,846,6.0,10,10,0
33450,71287,1075,849,0.0,20,20,0
33451,71288,1075,807,0.0,17,17,0
33452,71289,1075,815,12.0,7,7,0
33453,71290,1075,830,25.0,3,3,1
33454,71291,1075,842,4.0,12,12,0
33455,71292,1076,844,71.0,1,1,2
33456,71293,1076,832,33.0,3,3,0
33457,71294,1076,1,28.0,5,5,0
33458,71295,1076,847,37.0,2,2,0
33459,71296,1076,825,12.0,9,9,0
33460,71297,1076,822,12.0,10,10,0
33461,71298,1076,839,20.0,7,7,0
33462,71299,1076,852,4.0,13,13,0
33463,71300,1076,4,2.0,14,14,0
33464,71301,1076,855,1.0,15,15,0
33465,71302,1076,854,0.0,17,17,0
33466,71303,1076,840,0.0,18,18,0
33467,71304,1076,848,1.0,16,16,0
33468,71305,1076,817,8.0,11,11,0
33469,71306,1076,846,16.0,8,8,0
33470,71307,1076,849,0.0,20,20,0
33471,71308,1076,807,0.0,19,19,0
33472,71309,1076,815,30.0,4,4,0
33473,71310,1076,830,25.0,6,6,1
33474,71311,1076,842,6.0,12,12,0
33475,71312,1076,20,0.0,21,21,0
33476,71313,1077,844,86.0,1,1,2
33477,71314,1077,832,38.0,5,5,0
33478,71315,1077,1,28.0,7,7,0
33479,71316,1077,847,49.0,4,4,0
33480,71317,1077,825,15.0,10,10,0
33481,71318,1077,822,24.0,8,8,0
33482,71319,1077,839,20.0,9,9,0
33483,71320,1077,852,10.0,12,12,0
33484,71321,1077,4,2.0,15,15,0
33485,71322,1077,855,1.0,16,16,0
33486,71323,1077,854,0.0,19,19,0
33487,71324,1077,840,1.0,18,18,0
33488,71325,1077,848,1.0,17,17,0
33489,71326,1077,817,11.0,11,11,0
33490,71327,1077,846,35.0,6,6,0
33491,71328,1077,849,0.0,21,21,0
33492,71329,1077,807,0.0,20,20,0
33493,71330,1077,815,54.0,3,3,0
33494,71331,1077,830,59.0,2,2,2
33495,71332,1077,842,6.0,13,13,0
33496,71333,1077,20,4.0,14,14,0
33497,71334,1078,844,104.0,1,1,2
33498,71335,1078,832,53.0,5,5,0
33499,71336,1078,1,36.0,6,6,0
33500,71337,1078,847,59.0,4,4,0
33501,71338,1078,825,15.0,10,10,0
33502,71339,1078,822,30.0,8,8,0
33503,71340,1078,839,24.0,9,9,0
33504,71341,1078,852,10.0,12,12,0
33505,71342,1078,4,2.0,16,16,0
33506,71343,1078,855,1.0,18,18,0
33507,71344,1078,854,0.0,19,19,0
33508,71345,1078,840,2.0,17,17,0
33509,71346,1078,848,3.0,15,15,0
33510,71347,1078,817,11.0,11,11,0
33511,71348,1078,846,35.0,7,7,0
33512,71349,1078,849,0.0,21,21,0
33513,71350,1078,807,0.0,20,20,0
33514,71351,1078,815,66.0,3,3,0
33515,71352,1078,830,85.0,2,2,3
33516,71353,1078,842,6.0,13,13,0
33517,71354,1078,20,4.0,14,14,0
33518,71355,1079,844,104.0,2,2,2
33519,71356,1079,832,65.0,5,5,0
33520,71357,1079,1,46.0,6,6,0
33521,71358,1079,847,74.0,4,4,0
33522,71359,1079,825,15.0,10,10,0
33523,71360,1079,822,38.0,8,8,0
33524,71361,1079,839,30.0,9,9,0
33525,71362,1079,852,11.0,11,11,0
33526,71363,1079,4,4.0,15,15,0
33527,71364,1079,855,1.0,18,18,0
33528,71365,1079,854,0.0,19,19,0
33529,71366,1079,840,2.0,17,17,0
33530,71367,1079,848,3.0,16,16,0
33531,71368,1079,817,11.0,12,12,0
33532,71369,1079,846,39.0,7,7,0
33533,71370,1079,849,0.0,21,21,0
33534,71371,1079,807,0.0,20,20,0
33535,71372,1079,815,85.0,3,3,0
33536,71373,1079,830,110.0,1,1,4
33537,71374,1079,842,6.0,13,13,0
33538,71375,1079,20,4.0,14,14,0
33539,71396,1080,844,116.0,2,2,2
33540,71397,1080,832,83.0,5,5,0
33541,71398,1080,1,50.0,6,6,0
33542,71399,1080,847,84.0,4,4,0
33543,71400,1080,825,15.0,10,10,0
33544,71401,1080,822,40.0,8,8,0
33545,71402,1080,839,30.0,9,9,0
33546,71403,1080,852,11.0,12,12,0
33547,71404,1080,4,10.0,13,13,0
33548,71405,1080,855,1.0,18,18,0
33549,71406,1080,854,0.0,19,19,0
33550,71407,1080,840,2.0,17,17,0
33551,71408,1080,848,3.0,16,16,0
33552,71409,1080,817,11.0,11,11,0
33553,71410,1080,846,48.0,7,7,0
33554,71411,1080,849,0.0,21,21,0
33555,71412,1080,807,0.0,20,20,0
33556,71413,1080,815,110.0,3,3,1
33557,71414,1080,830,125.0,1,1,4
33558,71415,1080,842,6.0,14,14,0
33559,71416,1080,20,5.0,15,15,0
33560,71417,1081,844,116.0,3,3,2
33561,71418,1081,832,83.0,5,5,0
33562,71419,1081,1,62.0,6,6,0
33563,71420,1081,847,99.0,4,4,0
33564,71421,1081,825,15.0,12,12,0
33565,71422,1081,822,40.0,8,8,0
33566,71423,1081,839,31.0,9,9,0
33567,71424,1081,852,11.0,15,15,0
33568,71425,1081,4,16.0,11,11,0
33569,71426,1081,855,1.0,18,18,0
33570,71427,1081,854,0.0,19,19,0
33571,71428,1081,840,2.0,17,17,0
33572,71429,1081,848,3.0,16,16,0
33573,71430,1081,817,15.0,13,13,0
33574,71431,1081,846,50.0,7,7,0
33575,71432,1081,849,0.0,21,21,0
33576,71433,1081,807,0.0,20,20,0
33577,71434,1081,815,129.0,2,2,1
33578,71435,1081,830,150.0,1,1,5
33579,71436,1081,842,16.0,10,10,0
33580,71437,1081,20,13.0,14,14,0
33581,71479,1082,20,13.0,14,14,0
33582,71477,1082,830,175.0,1,1,6
33583,71476,1082,815,129.0,2,2,1
33584,71475,1082,807,0.0,20,20,0
33585,71474,1082,849,0.0,21,21,0
33586,71471,1082,848,3.0,17,17,0
33587,71470,1082,840,3.0,18,18,0
33588,71468,1082,855,5.0,16,16,0
33589,71467,1082,4,18.0,10,10,0
33590,71466,1082,852,11.0,15,15,0
33591,71460,1082,832,102.0,5,5,0
33592,71461,1082,1,77.0,6,6,0
33593,71462,1082,847,111.0,4,4,0
33594,71463,1082,825,15.0,12,12,0
33595,71464,1082,822,46.0,8,8,0
33596,71478,1082,842,16.0,11,11,0
33597,71465,1082,839,39.0,9,9,0
