,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
9135,9176,1074,844,6,16,1,1:31.471,1:30.932,1:30.558
9136,9177,1074,830,9,1,2,1:31.785,1:30.757,1:30.681
9137,9178,1074,832,6,55,3,1:31.567,1:30.787,1:30.687
9138,9179,1074,815,9,11,4,1:32.311,1:31.008,1:30.921
9139,9180,1074,1,131,44,5,1:32.285,1:31.048,1:31.238
9140,9181,1074,822,51,77,6,1:31.919,1:31.717,1:31.560
9141,9182,1074,825,210,20,7,1:31.955,1:31.461,1:31.808
9142,9183,1074,4,214,14,8,1:32.346,1:31.621,1:32.195
9143,9184,1074,847,131,63,9,1:32.269,1:31.252,1:32.216
9144,9185,1074,842,213,10,10,1:32.096,1:31.635,1:32.338
9145,9186,1074,839,214,31,11,1:32.041,1:31.782,\N
9146,9187,1074,854,210,47,12,1:32.380,1:31.998,\N
9147,9188,1074,846,1,4,13,1:32.239,1:32.008,\N
9148,9189,1074,848,3,23,14,1:32.726,1:32.664,\N
9149,9190,1074,855,51,24,15,1:32.493,1:33.543,\N
9150,9191,1074,852,213,22,16,1:32.750,\N,\N
9151,9192,1074,807,117,27,17,1:32.777,\N,\N
9152,9193,1074,817,1,3,18,1:32.945,\N,\N
9153,9194,1074,840,117,18,19,1:33.032,\N,\N
9154,9195,1074,849,3,6,20,1:33.634,\N,\N
9155,9225,1075,855,51,24,13,1:29.978,1:29.819,\N
9156,9224,1075,817,1,3,12,1:30.009,1:29.773,\N
9157,9223,1075,846,1,4,11,1:29.957,1:29.651,\N
9158,9222,1075,825,210,20,10,1:29.831,1:29.546,1:29.588
9159,9221,1075,842,213,10,9,1:29.891,1:29.418,1:29.254
9160,9220,1075,822,51,77,8,1:29.683,1:29.404,1:29.183
9161,9219,1075,4,214,14,7,1:29.978,1:29.295,1:29.147
9162,9218,1075,847,131,63,6,1:29.680,1:29.618,1:29.104
9163,9217,1075,839,214,31,5,1:30.093,1:29.584,1:29.068
9164,9216,1075,830,9,1,4,1:28.928,1:28.945,1:28.461
9165,9215,1075,832,6,55,3,1:28.855,1:28.686,1:28.402
9166,9214,1075,844,6,16,2,1:29.039,1:28.780,1:28.225
9167,9213,1075,815,9,11,1,1:29.705,1:28.924,1:28.200
9168,9226,1075,854,210,47,14,1:30.167,1:29.920,\N
9169,9227,1075,840,117,18,15,1:30.256,1:31.009,\N
9170,9228,1075,1,131,44,16,1:30.343,\N,\N
9171,9229,1075,848,3,23,17,1:30.492,\N,\N
9172,9230,1075,807,117,27,18,1:30.543,\N,\N
9173,9231,1075,849,3,6,19,1:31.817,\N,\N
9174,9232,1075,852,213,22,20,\N,\N,\N
9175,9233,1076,844,6,16,1,1:18.881,1:18.606,1:17.868
9176,9234,1076,830,9,1,2,1:18.580,1:18.611,1:18.154
9177,9235,1076,815,9,11,3,1:18.834,1:18.340,1:18.240
9178,9236,1076,846,1,4,4,1:19.280,1:19.066,1:18.703
9179,9237,1076,1,131,44,5,1:19.401,1:19.106,1:18.825
9180,9238,1076,847,131,63,6,1:19.405,1:19.076,1:18.933
9181,9239,1076,817,1,3,7,1:19.665,1:19.130,1:19.032
9182,9240,1076,839,214,31,8,1:19.605,1:19.136,1:19.061
9183,9241,1076,832,6,55,9,1:18.983,1:18.469,1:19.408
9184,9242,1076,4,214,14,10,1:19.192,1:18.815,
9185,9243,1076,842,213,10,11,1:19.580,1:19.226,
9186,9244,1076,822,51,77,12,1:19.251,1:19.410,
9187,9245,1076,852,213,22,13,1:19.742,1:19.424,
9188,9246,1076,855,51,24,14,1:19.910,1:20.155,
9189,9247,1076,854,210,47,15,1:20.104,1:20.465,
9190,9248,1076,848,3,23,16,1:20.135,,
9191,9249,1076,825,210,20,17,1:20.254,,
9192,9250,1076,20,117,5,18,1:21.149,,
9193,9251,1076,849,3,6,19,1:21.372,,
9194,9252,1076,840,117,18,20,\N,\N,\N
9195,9253,1077,830,9,1,1,1:19.295,1:18.793,1:27.999
9196,9254,1077,844,6,16,2,1:18.796,1:19.584,1:28.778
9197,9255,1077,846,1,4,3,1:20.168,1:19.294,1:29.131
9198,9256,1077,825,210,20,4,1:20.147,1:19.902,1:29.164
9199,9257,1077,4,214,14,5,1:20.198,1:19.595,1:29.202
