,grid,positionOrder,points,laps,milliseconds_x,fastestLap,rank,fastestLapTime,fastestLapSpeed_x,year,round,driverRef,nationality_x,constructorRef,nationality_y,status,circuitRef,location,country,lat,lng,alt,month,age
0,7.0,6.0,8.0,58.0,5320285.0,54.0,9.0,82451.0,230.449,2022.0,3.0,ricciardo,Australian,mclaren,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,32
1,4.0,5.0,10.0,58.0,5319851.0,55.0,8.0,82248.0,231.018,2022.0,3.0,norris,British,mclaren,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,22
2,13.0,6.0,8.0,58.0,9162072.0,46.0,9.0,81173.0,234.077,2023.0,3.0,norris,British,mclaren,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,23
3,16.0,8.0,4.0,58.0,9163753.0,53.0,12.0,81335.00000000001,233.611,2023.0,3.0,piastri,Australian,mclaren,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,22
4,5.0,4.0,12.0,58.0,5295091.0,51.0,7.0,81886.0,232.039,2022.0,3.0,hamilton,British,mercedes,German,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,37
5,3.0,2.0,18.0,58.0,9158550.0,49.0,5.0,80613.0,235.703,2023.0,3.0,hamilton,British,mercedes,German,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,38
6,6.0,3.0,15.0,58.0,5292141.0,53.0,4.0,81495.0,233.152,2022.0,3.0,russell,British,mercedes,German,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,24
7,20.0,10.0,1.0,58.0,5345930.0,54.0,12.0,82589.0,230.064,2022.0,3.0,albon,Thai,williams,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,26
8,5.0,12.0,0.0,58.0,9164965.0,53.0,3.0,80467.0,236.131,2023.0,3.0,sainz,Spanish,ferrari,Italian,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,28
9,1.0,1.0,26.0,58.0,5266548.0,58.0,1.0,80260.0,236.74,2022.0,3.0,leclerc,Monegasque,ferrari,Italian,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,24
10,8.0,7.0,6.0,58.0,5328231.0,58.0,10.0,82469.0,230.399,2022.0,3.0,ocon,French,alpine,French,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,25
11,4.0,3.0,15.0,58.0,9159140.0,53.0,4.0,80476.0,236.105,2023.0,3.0,alonso,Spanish,aston_martin,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,41
12,19.0,12.0,0.0,58.0,5355146.0,48.0,17.0,83592.0,227.304,2022.0,3.0,stroll,Canadian,aston_martin,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,23
13,6.0,4.0,12.0,58.0,9161453.0,50.0,6.0,80934.0,234.769,2023.0,3.0,stroll,Canadian,aston_martin,British,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,24
14,12.0,8.0,4.0,58.0,5334987.0,54.0,5.0,81651.0,232.707,2022.0,3.0,bottas,Finnish,alfa,Swiss,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,32
15,0.0,11.0,0.0,58.0,9164884.0,46.0,17.0,82233.0,231.06,2023.0,3.0,bottas,Finnish,alfa,Swiss,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,33
16,14.0,11.0,0.0,58.0,5348243.0,55.0,11.0,82541.0,230.198,2022.0,3.0,zhou,Chinese,alfa,Swiss,Finished,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,4,22
