track,traction,track_evolution,braking,asphalt_grip,lateral,asphalt_abrasion,tyre_stress,downforce,c1_compound,c2_compound,c3_compound,c4_compound,c5_compound,laps,race_dist,circuit_length,turns,elevation_change,top_speed,tyre_camber_lim_front,tyre_camber_lim_rear,min_starting_press_front,min_starting_press_rear
Bahrain,4,4,4,3,3,5,3,3,1,1,1,0,0,57,308.238,5.412,15,16.8,327.9,-3.5,-2,21,18.5
Saudi Arabia,2,4,2,3,3,2,3,2,0,1,1,1,0,50,308.45,6.174,27,2.48,334.6,-3.25,-1.75,22.5,21
Australia,2,4,2,3,3,2,3,3,0,1,1,1,0,58,306.124,5.278,14,2.44,326.2,-3.25,-1.75,23,21
Azerbaijan,,,,,,,,,0,0,1,1,1,51,306.153,6.003,20,26.96,351.8,,,,
Miami,,,,,,,,,0,1,1,1,0,57,308.484,5.412,19,3.53,349.3,,,,
Monaco,5,5,2,1,1,1,1,5,0,0,1,1,1,78,260.286,3.337,19,41.95,289,-3.5,-2.5,21,19.5
Spain,3,3,3,3,5,4,5,4,1,1,1,0,0,66,307.236,4.657,14,29.63,307.2,-3.25,-1.75,23,20
Canada,5,5,5,1,1,2,3,1,0,0,1,1,1,70,305.27,4.361,14,5.25,342.7,-3.25,-2,22,20.5
Austria,2,3,3,3,3,4,3,3,0,0,1,1,1,71,306.452,4.318,10,63.4,324.7,-3.25,-1.75,23,20
Great Britain,3,2,2,3,5,3,5,4,1,1,1,0,0,52,306.198,5.891,18,11.31,332.6,-2.75,-1.5,26.5,23
Hungary,4,4,3,3,3,2,3,5,0,0,1,1,1,70,306.63,4.381,14,34.62,310.3,-3.5,-2,22,19
Belgium,4,3,4,3,5,4,5,2,0,1,1,1,0,44,308.052,7.004,19,1012.1,350.8,-2.75,-1.5,25,23
Netherlands,4,4,3,2,4,3,5,4,1,1,1,0,0,72,306.587,4.259,14,8.65,327.5,-3,-2,24,21
Italy,3,3,4,2,2,3,3,1,0,0,1,1,1,53,306.72,5.793,11,12.48,356.4,-3,-2,24.5,22.5
Singapore,4,4,5,3,2,3,2,5,0,0,1,1,1,62,306.28,4.94,19,5.3,317.3,-3.5,-2,22,19
Japan,3,3,2,3,5,4,5,4,1,1,1,0,0,53,307.471,5.807,18,40.43,305.7,-2.75,-1.5,25,23
Qatar,3,4,3,3,5,3,5,4,1,1,1,0,0,57,308.611,5.419,16,4.178,322,-2.75,-1.5,25,21.5
United States,4,4,3,3,4,4,4,4,0,1,1,1,0,56,308.405,5.513,20,30.9,344.7,-3,-1.75,23,20
Mexico,3,3,3,1,2,2,2,5,0,0,1,1,1,71,305.354,4.304,17,2.675,356.9,-3.25,-1.75,23.5,20.5
Brazil,3,4,3,3,3,4,3,4,0,1,1,1,0,71,305.879,4.309,15,42.98,338.3,-3.25,-2,23,21
Las Vegas,2,5,3,3,2,3,3,1,0,0,1,1,1,50,310.05,6.201,17,,342,-3,-1.75,27,24.5
Abu Dhabi,4,4,4,4,3,3,3,3,0,0,1,1,1,58,306.183,5.281,16,10.23,334.3,-3.25,-2,22,20
